Actives file,Results file,Total ligands(actives+decoys),Total actives,Number of ranked actives,BEDROC(alpha=160.9),BEDROC(alpha=160.9) alpha*Ra,BEDROC(alpha=20.0),BEDROC(alpha=20.0) alpha*Ra,BEDROC(alpha=8.0),BEDROC(alpha=8.0) alpha*Ra,ROC,RIE,Area under accumulation curve,Ave. Num. of outranking decoys,# Actives 1%,# Actives 2%,# Actives 5%,# Actives 10%,# Actives 20%,% Actives 1%,% Actives 2%,% Actives 5%,% Actives 10%,% Actives 20%,# Actives 1%*,# Actives 2%*,# Actives 5%*,# Actives 10%*,# Actives 20%*,% Actives 1%*,% Actives 2%*,% Actives 5%*,% Actives 10%*,% Actives 20%*,EF 1%,EF 2%,EF 5%,EF 10%,EF 20%,EF* 1%,EF* 2%,EF* 5%,EF* 10%,EF* 20%,EF' 1%,EF' 2%,EF' 5%,EF' 10%,EF' 20%,DEF 1%,DEF 2%,DEF 5%,DEF 10%,DEF 20%,DEF* 1%,DEF* 2%,DEF* 5%,DEF* 10%,DEF* 20%,DEF' 1%,DEF' 2%,DEF' 5%,DEF' 10%,DEF' 20%,Eff 1%,Eff 2%,Eff 5%,Eff 10%,Eff 20%,EF 40% actives,EF 50% actives,EF 60% actives,EF 70% actives,EF 80% actives,EF 90% actives,EF 100% actives,EF* 40% actives,EF* 50% actives,EF* 60% actives,EF* 70% actives,EF* 80% actives,EF* 90% actives,EF* 100% actives,EF' 40% actives,EF' 50% actives,EF' 60% actives,EF' 70% actives,EF' 80% actives,EF' 90% actives,EF' 100% actives,FOD 40% actives,FOD 50% actives,FOD 60% actives,FOD 70% actives,FOD 80% actives,FOD 90% actives,FOD 100% actives
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_ATU.mae,1030,30,30,0.53621277341,4.68640776699,0.266971621411,0.582524271845,0.34921387179,0.233009708738,0.694933333333,4.04692125247,0.68925566343,304.566666667,5,5,6,9,12,16.6666666667,16.6666666667,20.0,30.0,40.0,5,5,6,9,14,16.6666666667,16.6666666667,20.0,30.0,46.6666666667,17,8.2,4,3,2,17,8.3,4,3,2.3,33,17,7.3,4.4,3.2,17,8,3.9,3,2,16,8.1,3.9,3,2.3,32,16,7.1,4.4,3.2,0.887,0.786,0.6,0.5,0.4,2.2,2.1,2,1.7,1.5,1.4,1.1,2.3,2.2,2.1,1.8,1.5,1.4,1.1,3.5,3,2.8,2.5,2.1,1.9,1.6,0.06,0.09,0.1,0.1,0.2,0.2,0.3
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_B49.mae,1030,30,30,0.269797220558,4.68640776699,0.234882404262,0.582524271845,0.314920603799,0.233009708738,0.685066666667,3.56049302324,0.679676375405,314.433333333,3,4,7,7,13,10.0,13.3333333333,23.3333333333,23.3333333333,43.3333333333,3,4,7,7,13,10.0,13.3333333333,23.3333333333,23.3333333333,43.3333333333,10,6.5,4.6,2.3,2.2,10,6.7,4.7,2.3,2.2,13,9.9,7.4,4.5,2.7,9.9,6.3,4.5,2.3,2.1,9.6,6.4,4.6,2.3,2.1,12,9.6,7.2,4.4,2.7,0.818,0.739,0.647,0.4,0.368,2,1.7,1.9,1.8,1.6,1.2,1.1,2.1,1.8,2,1.8,1.6,1.2,1.1,2.8,2.4,2.4,2.2,2.1,1.7,1.6,0.08,0.1,0.1,0.2,0.2,0.3,0.3
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_DRN.mae,1030,30,30,0.63977421774,4.68640776699,0.39717040731,0.582524271845,0.490732560236,0.233009708738,0.799766666667,6.02055509278,0.791035598706,199.733333333,6,8,9,11,19,20.0,26.6666666667,30.0,36.6666666667,63.3333333333,8,9,10,12,21,26.6666666667,30.0,33.3333333333,40.0,70.0,21,15,5.9,3.7,3.2,27,15,6.7,4,3.5,49,29,13,7.1,4.7,20,15,5.9,3.6,3.2,26,15,6.6,4,3.5,48,29,12,7.1,4.7,0.928,0.875,0.739,0.6,0.556,3.8,3.4,3.2,3.4,3,1.6,1.1,4.1,3.7,3.4,3.6,3.2,1.6,1.1,7.3,5.8,5,4.8,4.3,2.7,1.9,0.02,0.04,0.06,0.08,0.1,0.1,0.2
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_IQB.mae,1030,30,29,0.270887527956,4.68640776699,0.119419716502,0.582524271845,0.182966065694,0.233009708738,0.5805,1.81023808589,0.578155339806,434.482758621,2,2,3,4,7,6.66666666667,6.66666666667,10.0,13.3333333333,23.3333333333,2,2,3,4,7,6.66666666667,6.66666666667,10.0,13.3333333333,23.3333333333,6.9,3.3,2,1.3,1.2,6.7,3.3,2,1.3,1.2,12,6.3,2.7,1.9,1.5,6.6,3.1,1.9,1.3,1.2,6.4,3.2,2,1.3,1.2,12,6.1,2.6,1.9,1.5,0.739,0.538,0.333,0.143,0.0769,1.3,1.2,1.4,1,1,1.1,n/a,1.3,1.2,1.4,1,1,1.1,n/a,1.3,1.3,1.3,1.2,1.2,1.2,n/a,0.2,0.2,0.2,0.3,0.3,0.4,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_L20.mae,1030,30,29,0.478737628893,4.68640776699,0.267240235198,0.582524271845,0.307970460941,0.233009708738,0.6655,4.05099306664,0.66067961165,346.551724138,5,6,6,8,10,16.6666666667,20.0,20.0,26.6666666667,33.3333333333,6,6,7,8,10,20.0,20.0,23.3333333333,26.6666666667,33.3333333333,17,9.8,4,2.7,1.7,20,10,4.7,2.7,1.7,28,18,8.1,4.9,2.9,16,9.4,3.8,2.6,1.6,19,9.6,4.5,2.6,1.6,26,18,7.7,4.7,2.8,0.905,0.818,0.647,0.455,0.25,1.6,1.4,1.3,1.4,1.4,1.2,n/a,1.6,1.4,1.3,1.4,1.5,1.2,n/a,2.5,2,1.8,1.7,1.7,1.5,n/a,0.07,0.1,0.2,0.2,0.3,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_LI8.mae,1030,30,29,0.0363672723734,4.68640776699,0.123766721322,0.582524271845,0.238758130492,0.233009708738,0.6585,1.87613267743,0.653883495146,353.793103448,1,1,3,5,10,3.33333333333,3.33333333333,10.0,16.6666666667,33.3333333333,1,1,3,6,10,3.33333333333,3.33333333333,10.0,20.0,33.3333333333,3.4,1.6,2,1.7,1.7,3.3,1.7,2,2,1.7,3.5,2.3,1.6,1.9,1.9,n/a,n/a,1.9,1.6,1.6,n/a,n/a,2,2,1.6,n/a,n/a,1.5,1.8,1.9,0.538,0.25,0.333,0.333,0.25,1.8,1.8,1.6,1.3,1.3,1.1,n/a,1.8,1.9,1.7,1.3,1.3,1.1,n/a,1.8,1.8,1.8,1.6,1.6,1.5,n/a,0.1,0.1,0.2,0.2,0.3,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_PP1.mae,1030,30,28,0.487830983449,4.68640776699,0.326380137554,0.582524271845,0.394037694491,0.233009708738,0.7357,4.94747233713,0.728834951456,284.75,4,6,9,11,14,13.3333333333,20.0,30.0,36.6666666667,46.6666666667,6,6,10,11,15,20.0,20.0,33.3333333333,36.6666666667,50.0,14,9.8,5.9,3.7,2.3,20,10,6.7,3.7,2.5,31,19,9.4,6.5,3.9,13,9.7,5.9,3.6,2.3,20,9.9,6.6,3.6,2.5,30,19,9.3,6.5,3.9,0.905,0.818,0.739,0.571,0.429,3.5,2.5,1.7,1.3,1.2,1.2,n/a,3.7,2.6,1.7,1.3,1.2,1.2,n/a,6.2,4,2.8,2.1,1.9,1.7,n/a,0.03,0.06,0.1,0.1,0.2,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_PP2.mae,1030,30,29,0.253169266787,4.68640776699,0.172410323307,0.582524271845,0.318856792604,0.233009708738,0.7474,2.61350252562,0.740194174757,261.827586207,2,2,3,7,16,6.66666666667,6.66666666667,10.0,23.3333333333,53.3333333333,2,2,3,8,16,6.66666666667,6.66666666667,10.0,26.6666666667,53.3333333333,6.9,3.3,2,2.3,2.7,6.7,3.3,2,2.7,2.7,13,6.6,3.2,2.5,2.7,0.47,0.22,1.9,2.3,2.7,0.46,0.23,1.9,2.6,2.7,0.88,0.45,3,2.5,2.7,0.739,0.538,0.333,0.455,0.455,2.8,3,2.5,2,1.8,1.3,n/a,3,3.2,2.7,2,1.9,1.3,n/a,2.6,2.7,2.7,2.5,2.4,1.9,n/a,0.08,0.09,0.1,0.1,0.2,0.2,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_PVB.mae,1030,30,28,0.359815522327,4.68640776699,0.251451209359,0.582524271845,0.327904800356,0.233009708738,0.715866666667,3.81165323343,0.709579288026,306.0,4,4,7,9,12,13.3333333333,13.3333333333,23.3333333333,30.0,40.0,4,4,7,9,12,13.3333333333,13.3333333333,23.3333333333,30.0,40.0,14,6.5,4.6,3,2,13,6.7,4.7,3,2,22,13,7.8,4.7,3,13,6.4,4.5,3,2,13,6.5,4.6,3,2,21,13,7.7,4.6,3,0.86,0.739,0.647,0.5,0.333,2.1,1.9,1.8,1.6,1.3,1,n/a,2.2,2,1.9,1.6,1.4,1,n/a,3.1,2.7,2.5,2.2,1.9,1.5,n/a,0.07,0.1,0.1,0.2,0.2,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_STI.mae,1030,30,30,0.195803552327,4.68640776699,0.203100087069,0.582524271845,0.249730473256,0.233009708738,0.554166666667,3.07871697361,0.552588996764,445.333333333,3,3,5,7,9,10.0,10.0,16.6666666667,23.3333333333,30.0,3,3,7,7,9,10.0,10.0,23.3333333333,23.3333333333,30.0,10,4.9,4,2.3,1.5,10,5,4.7,2.3,1.5,11,8.1,5.6,4,2.3,9.8,4.7,3.9,2.3,1.5,9.6,4.8,4.6,2.3,1.5,10,7.7,5.6,4,2.3,0.818,0.667,0.647,0.4,0.2,1.1,1.1,0.92,1,1.1,1.1,1.2,1.1,1.1,0.92,1,1.1,1.1,1.2,1.6,1.5,1.3,1.3,1.2,1.2,1.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_STU.mae,1030,30,30,0.70199518426,4.68640776699,0.424782689988,0.582524271845,0.477896555486,0.233009708738,0.7386,6.43911917634,0.731650485437,260.9,8,9,10,13,16,26.6666666667,30.0,33.3333333333,43.3333333333,53.3333333333,9,10,10,13,16,30.0,33.3333333333,33.3333333333,43.3333333333,53.3333333333,27,15,6.6,4.3,2.7,30,17,6.7,4.3,2.7,61,32,14,7.9,4.8,27,14,6.5,4.3,2.7,29,16,6.5,4.3,2.7,60,31,14,7.8,4.8,0.935,0.887,0.739,0.625,0.455,5.2,3.4,2.4,1.9,1.6,1.2,1.2,6,3.7,2.5,2,1.6,1.2,1.2,11,6.3,4.2,3.2,2.6,1.9,1.8,0.01,0.03,0.06,0.09,0.1,0.2,0.3
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_TAK.mae,1030,30,28,0.415567952832,4.68640776699,0.23631087628,0.582524271845,0.319726077808,0.233009708738,0.6964,3.58214668686,0.69067961165,326.857142857,4,4,5,9,12,13.3333333333,13.3333333333,16.6666666667,30.0,40.0,4,4,5,9,12,13.3333333333,13.3333333333,16.6666666667,30.0,40.0,14,6.5,3.3,3,2,13,6.7,3.3,3,2,22,13,6.3,4,3.1,13,6.2,3.3,3,2,13,6.3,3.3,3,2,20,12,6.2,4,3.1,0.86,0.739,0.538,0.5,0.333,2.8,1.7,1.8,1.2,1.2,1.1,n/a,2.9,1.8,1.8,1.2,1.2,1.1,n/a,3.6,2.6,2.4,1.8,1.7,1.5,n/a,0.06,0.1,0.1,0.2,0.2,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_UCN.mae,1030,30,30,0.552388738104,4.68640776699,0.363307772653,0.582524271845,0.460427997144,0.233009708738,0.777233333333,5.50724430251,0.769158576052,222.266666667,6,6,10,12,18,20.0,20.0,33.3333333333,40.0,60.0,6,7,11,13,18,20.0,23.3333333333,36.6666666667,43.3333333333,60.0,21,9.8,6.6,4,3,20,12,7.3,4.3,3,43,21,11,7.1,4.6,20,9.7,6.5,4,3,20,12,7.2,4.3,3,42,21,11,7,4.6,0.905,0.842,0.76,0.625,0.5,4.7,3,3.4,2.5,2.1,1.7,1.2,5.3,3.2,3.7,2.6,2.2,1.7,1.2,8.5,5.1,5,4,3.3,2.7,1.9,0.02,0.04,0.06,0.09,0.1,0.2,0.2
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_VX6.mae,1030,30,26,0.425366318823,4.68640776699,0.306145473449,0.582524271845,0.382654062883,0.233009708738,0.795033333333,4.64074276551,0.78644012945,240.307692308,4,6,8,9,15,13.3333333333,20.0,26.6666666667,30.0,50.0,4,6,8,10,15,13.3333333333,20.0,26.6666666667,33.3333333333,50.0,14,9.8,5.3,3,2.5,13,10,5.3,3.3,2.5,24,17,9.7,5.7,3.9,13,9.6,5.3,3,2.5,13,9.8,5.3,3.3,2.5,23,16,9.7,5.6,3.9,0.86,0.818,0.684,0.538,0.429,3.1,2.7,1.8,1.7,1.2,n/a,n/a,3.4,2.8,1.8,1.7,1.2,n/a,n/a,5.1,4.1,2.9,2.5,1.9,n/a,n/a,0.04,0.06,0.1,0.1,0.2,n/a,n/a
